,addresses
120,"372 FIFTH AVENUE,MANHATTAN,NY"
121,"372 FIFTH AVENUE,MANHATTAN,NY"
122,"372 FIFTH AVENUE,MANHATTAN,NY"
123,"372 FIFTH AVENUE,MANHATTAN,NY"
124,"502 NINTH AVENUE,MANHATTAN,NY"
125,"502 9 AVENUE,MANHATTAN,NY"
126,"502 9 AVENUE,MANHATTAN,NY"
127,"502 NINTH AVENUE,MANHATTAN,NY"
128,"502 9 AVENUE,MANHATTAN,NY"
129,"400 5 AVENUE,MANHATTAN,NY"
130,"400 5 AVENUE,MANHATTAN,NY"
131,"832 AVENUE OF THE AMER,MANHATTAN,NY"
132,"115-123 W 29TH,MANHATTAN,NY"
133,"371 7 AVENUE,MANHATTAN,NY"
134,"420 5 AVENUE,MANHATTAN,NY"
135,"502 9 AVENUE,MANHATTAN,NY"
136,"1 WALL STREET COURT,MANHATTAN,NY"
137,"1 WALL STREET COURT,MANHATTAN,NY"
138,"1 WALL STREET COURT,MANHATTAN,NY"
139,"1 WALL STREET COURT,MANHATTAN,NY"
140,"1 WALL STREET COURT,MANHATTAN,NY"
141,"1 WALL STREET COURT,MANHATTAN,NY"
142,"10 WEST 15,MANHATTAN,NY"
143,"10 WEST 15TH,MANHATTAN,NY"
144,"10 WEST 15,MANHATTAN,NY"
145,"4 WEST 21 STREET,MANHATTAN,NY"
146,"208 FIFTH AVENUE,MANHATTAN,NY"
147,"7 EAST 14 STREET,MANHATTAN,NY"
148,"105 FIFTH AVENUE,MANHATTAN,NY"
149,"105 FIFTH AVENUE,MANHATTAN,NY"
150,"105 FIFTH AVENUE,MANHATTAN,NY"
151,"129-131 FIFTH AVENUE,MANHATTAN,NY"
152,"131 FIFTH AVENUE,MANHATTAN,NY"
153,"131 FIFTH AVENUE,MANHATTAN,NY"
154,"131 FIFTH AVENUE,MANHATTAN,NY"
155,"21 EAST 22,MANHATTAN,NY"
156,"22 WEST 15 STREET,MANHATTAN,NY"
