,addresses
1288,"180 AVENUE OF THE AMERIC,MANHATTAN,NY"
1289,"180 AVENUE OF THE AMERIC,MANHATTAN,NY"
1290,"176-186 AVENUE OF THE AMER,MANHATTAN,NY"
1291,"180 AVENUE OF THE AMER,MANHATTAN,NY"
1292,"180 AVENUE OF THE AMER,MANHATTAN,NY"
1293,"180 AVENUE OF THE AMER,MANHATTAN,NY"
1294,"180 AVENUE OF THE AMER,MANHATTAN,NY"
1295,"51 MAC DOUGAL STREET,MANHATTAN,NY"
1296,"1291 3 AVENUE,MANHATTAN,NY"
1297,"1297 THIRD AVENUE,MANHATTAN,NY"
1298,"315 EAST 74 STREET,MANHATTAN,NY"
1299,"1329 3 AVENUE,MANHATTAN,NY"
1300,"1337 THIRD AVENUE,MANHATTAN,NY"
1301,"236 EAST 78 STREET,MANHATTAN,NY"
1302,"509 EAST 77 STREET,MANHATTAN,NY"
1303,"508 EAST 78 STREET,MANHATTAN,NY"
1304,"781 FIFTH AVENUE,MANHATTAN,NY"
1305,"781 FIFTH AVENUE,MANHATTAN,NY"
1306,"781 FIFTH AVE,MANHATTAN,NY"
1307,"781 FIFTH AVENUE,MANHATTAN,NY"
1308,"781 FIFTH AVENUE,MANHATTAN,NY"
1309,"781 FIFTH AVENUE,MANHATTAN,NY"
1310,"785 FIFTH AVENUE,MANHATTAN,NY"
1311,"21 EAST 61 STREET,MANHATTAN,NY"
1312,"812 FIFTH AVENUE,MANHATTAN,NY"
1313,"812 FIFTH AVENUE,MANHATTAN,NY"
1314,"825 FIFTH AVENUE,MANHATTAN,NY"
1315,"825 FIFTH AVENUE,MANHATTAN,NY"
1316,"825 FIFTH AVENUE,MANHATTAN,NY"
1317,"825 FIFTH AVENUE,MANHATTAN,NY"
1318,"825 FIFTH AVENUE,MANHATTAN,NY"
1319,"825 FIFTH AVENUE,MANHATTAN,NY"
1320,"825 FIFTH AVENUE,MANHATTAN,NY"
1321,"825 5 AVENUE,MANHATTAN,NY"
1322,"834 FIFTH AVENUE,MANHATTAN,NY"
1323,"851 FIFTH AVENUE,MANHATTAN,NY"
1324,"857 FIFTH AVENUE,MANHATTAN,NY"
1325,"857 FIFTH AVENUE,MANHATTAN,NY"
1326,"860 FIFTH AVENUE,MANHATTAN,NY"
1327,"860 FIFTH AVENUE,MANHATTAN,NY"
1328,"860 FIFTH AVENUE,MANHATTAN,NY"
1329,"870 FIFTH AVENUE,MANHATTAN,NY"
1330,"870 FIFTH AVENUE,MANHATTAN,NY"
1331,"870 FIFTH AVENUE,MANHATTAN,NY"
1332,"875 FIFTH AVENUE,MANHATTAN,NY"
1333,"875 FIFTH AVENUE,MANHATTAN,NY"
1334,"875 FIFTH AVENUE,MANHATTAN,NY"
1335,"880 FIFTH AVENUE,MANHATTAN,NY"
1336,"880 FIFTH AVENUE,MANHATTAN,NY"
1337,"880 FIFTH AVENUE,MANHATTAN,NY"
1338,"880 FIFTH AVENUE,MANHATTAN,NY"
1339,"4 EAST 72 ST,MANHATTAN,NY"
1340,"907 5 AVENUE,MANHATTAN,NY"
1341,"910 FIFTH AVENUE,MANHATTAN,NY"
1342,"920 FIFTH AVENUE,MANHATTAN,NY"
1343,"920 FIFTH AVENUE,MANHATTAN,NY"
1344,"930 FIFTH AVENUE,MANHATTAN,NY"
1345,"930 FIFTH AVENUE,MANHATTAN,NY"
1346,"930 FIFTH AVENUE,MANHATTAN,NY"
1347,"930 FIFTH AVENUE,MANHATTAN,NY"
1348,"930 FIFTH AVENUE,MANHATTAN,NY"
1349,"936 FIFTH AVENUE,MANHATTAN,NY"
1350,"35 EAST 75 STREET,MANHATTAN,NY"
1351,"55 EAST 76 STREET,MANHATTAN,NY"
1352,"955 FIFTH AVENUE,MANHATTAN,NY"
1353,"960 FIFTH AVENUE,MANHATTAN,NY"
1354,"965 FIFTH AVENUE,MANHATTAN,NY"
1355,"118 EAST 60 ST,MANHATTAN,NY"
1356,"118 EAST 60 ST,MANHATTAN,NY"
1357,"118 EAST 60 STREET,MANHATTAN,NY"
1358,"167 EAST 61 STREET,MANHATTAN,NY"
1359,"150 EAST 69 STREET,MANHATTAN,NY"
1360,"150 EAST 69,MANHATTAN,NY"
1361,"150 EAST 69,MANHATTAN,NY"
1362,"165 EAST 72 STREET,MANHATTAN,NY"
1363,"165 EAST 72 STREET,MANHATTAN,NY"
1364,"120 EAST 75 STREET,MANHATTAN,NY"
1365,"103 EAST 75 STREET,MANHATTAN,NY"
1366,"201 EAST 66 STREET,MANHATTAN,NY"
1367,"201 EAST 66 STREET,MANHATTAN,NY"
1368,"220 EAST 67 STREET,MANHATTAN,NY"
1369,"208 EAST 70 STREET,MANHATTAN,NY"
1370,"230 EAST 71 STREET,MANHATTAN,NY"
1371,"200 EAST 74 STREET,MANHATTAN,NY"
1372,"241 EAST 76 STREET,MANHATTAN,NY"
1373,"212 EAST 77,MANHATTAN,NY"
1374,"301 EAST 64 STREET,MANHATTAN,NY"
1375,"310 EAST 70 STREET,MANHATTAN,NY"
1376,"315 EAST 70 STREET,MANHATTAN,NY"
1377,"315 EAST 72 STREET,MANHATTAN,NY"
1378,"300 EAST 74 ST,MANHATTAN,NY"
1379,"301 EAST 75 STREET,MANHATTAN,NY"
1380,"370 EAST 76 STREET,MANHATTAN,NY"
1381,"1445 1 AVENUE,MANHATTAN,NY"
1382,"1461 1 AVENUE,MANHATTAN,NY"
1383,"350 EAST 77 STREET,MANHATTAN,NY"
1384,"301 E 78 ST,MANHATTAN,NY"
1385,"301 EAST 78 STREET,MANHATTAN,NY"
1386,"308 EAST 79 ST,MANHATTAN,NY"
1387,"401 EAST 65 STREET,MANHATTAN,NY"
1388,"435 EAST 65,MANHATTAN,NY"
1389,"420 EAST 72 STREET,MANHATTAN,NY"
1390,"420 EAST 72 STREET,MANHATTAN,NY"
1391,"530 E 72 STREET,MANHATTAN,NY"
1392,"11 EAST 68,MANHATTAN,NY"
1393,"923 FIFTH AVENUE,MANHATTAN,NY"
1394,"923 5 AVENUE,MANHATTAN,NY"
1395,"923 5 AVENUE,MANHATTAN,NY"
1396,"255 EAST 74TH STRET,MANHATTAN,NY"
1397,"308 EAST 72 STREET,MANHATTAN,NY"
1398,"1355 1 AVENUE,MANHATTAN,NY"
1399,"1010 3 AVENUE,MANHATTAN,NY"
1400,"166 EAST 61ST AVENUE,MANHATTAN,NY"
1401,"1010 3 AVENUE,MANHATTAN,NY"
1402,"1160 THIRD AVENUE,MANHATTAN,NY"
1403,"1160 THIRD AVENUE,MANHATTAN,NY"
1404,"1160 THIRD AVENUE,MANHATTAN,NY"
1405,"1160 THIRD AVENUE,MANHATTAN,NY"
1406,"1160 THIRD AVENUE,MANHATTAN,NY"
1407,"1160 THIRD AVENUE,MANHATTAN,NY"
1408,"240 EAST 76 STREET,MANHATTAN,NY"
1409,"205 E. 78 STREET,MANHATTAN,NY"
1410,"420 EAST 64 STREET,MANHATTAN,NY"
1411,"420 EAST 64 STREET,MANHATTAN,NY"
1412,"425 EAST 63 STREET,MANHATTAN,NY"
1413,"1491 1 AVENUE,MANHATTAN,NY"
1414,"30 EAST 76 STREET,MANHATTAN,NY"
1415,"30 EAST 76 ST,MANHATTAN,NY"
1416,"1619 2 AVENUE,MANHATTAN,NY"
1417,"1733 2 AVENUE,MANHATTAN,NY"
1418,"333 EAST 83 STREET,MANHATTAN,NY"
1419,"1750 2 AVENUE,MANHATTAN,NY"
1420,"1752 2 AVENUE,MANHATTAN,NY"
1421,"1771 1 AVENUE,MANHATTAN,NY"
1422,"539 EAST 87 ST,MANHATTAN,NY"
1423,"162 EAST 91 STREET,MANHATTAN,NY"
1424,"210 EAST 84  STREET,MANHATTAN,NY"
1425,"522 EAST 88TH,MANHATTAN,NY"
1426,"980 FIFTH AVE,MANHATTAN,NY"
1427,"980 FIFTH AVENUE,MANHATTAN,NY"
1428,"980 FIFTH AVENUE,MANHATTAN,NY"
1429,"980 FIFTH AVENUE,MANHATTAN,NY"
1430,"980 FIFTH AVENUE,MANHATTAN,NY"
1431,"1001 FIFTH AVENUE,MANHATTAN,NY"
1432,"1001 FIFTH AVENUE,MANHATTAN,NY"
1433,"1001 FIFTH AVENUE,MANHATTAN,NY"
1434,"1001 FIFTH AVENUE,MANHATTAN,NY"
1435,"1001 FIFTH AVENUE,MANHATTAN,NY"
1436,"1001 FIFTH AVENUE,MANHATTAN,NY"
1437,"1001 FIFTH AVENUE,MANHATTAN,NY"
1438,"1010 5 AVENUE,MANHATTAN,NY"
1439,"1010 FIFTH AVENUE,MANHATTAN,NY"
1440,"1016 FIFTH AVENUE,MANHATTAN,NY"
1441,"1016 FIFTH AVENUE,MANHATTAN,NY"
1442,"1016 FIFTH AVENUE,MANHATTAN,NY"
1443,"1025 FIFTH AVENUE,MANHATTAN,NY"
1444,"1025 FIFTH AVENUE,MANHATTAN,NY"
1445,"1025 FIFTH AVENUE,MANHATTAN,NY"
1446,"40 EAST 84 STREET,MANHATTAN,NY"
1447,"1035 FIFTH AVENUE,MANHATTAN,NY"
1448,"1035 FIFTH AVENUE,MANHATTAN,NY"
1449,"1050 FIFTH AVENUE,MANHATTAN,NY"
1450,"1050 FIFTH AVENUE,MANHATTAN,NY"
1451,"1050 FIFTH AVENUE,MANHATTAN,NY"
1452,"1056 FIFTH AVENUE,MANHATTAN,NY"
1453,"1060 FIFTH AVENUE,MANHATTAN,NY"
1454,"55 EAST 87,MANHATTAN,NY"
1455,"1120 PARK AVENU,MANHATTAN,NY"
1456,"1115 FIFTH AVENUE,MANHATTAN,NY"
1457,"1115 FIFTH AVENUE,MANHATTAN,NY"
1458,"1115 FIFTH AVENUE,MANHATTAN,NY"
1459,"1120 FIFTH AVENUE,MANHATTAN,NY"
1460,"1120 FIFTH AVENUE,MANHATTAN,NY"
1461,"1125 FIFTH AVENUE,MANHATTAN,NY"
1462,"1133 FIFTH AVENUE,MANHATTAN,NY"
1463,"1133 FIFTH AVENUE,MANHATTAN,NY"
1464,"1136 FIFTH AVENUE,MANHATTAN,NY"
1465,"1136 FIFTH AVENUE,MANHATTAN,NY"
1466,"1140 FIFTH AVENUE,MANHATTAN,NY"
1467,"1140 FIFTH AVENUE,MANHATTAN,NY"
1468,"1148 5 AVENUE,MANHATTAN,NY"
1469,"1148 FIFTH AVENUE,MANHATTAN,NY"
1470,"151 EAST 83 STREET,MANHATTAN,NY"
1471,"151 EAST 83 STREET,MANHATTAN,NY"
1472,"111 EAST 85,MANHATTAN,NY"
1473,"160 E 91 STREET,MANHATTAN,NY"
1474,"108 EAST 91,MANHATTAN,NY"
1475,"201 EAST 79 STREET,MANHATTAN,NY"
1476,"201 EAST 79 STREET,MANHATTAN,NY"
1477,"225 EAST 79 STREET,MANHATTAN,NY"
1478,"250 EAST 87 ST,MANHATTAN,NY"
1479,"245 EAST 87 STREET,MANHATTAN,NY"
1480,"245 E87TH STREET,MANHATTAN,NY"
1481,"235 EAST 87,MANHATTAN,NY"
1482,"340 EAST 80 STREET,MANHATTAN,NY"
1483,"325 EAST 80 STREET,MANHATTAN,NY"
1484,"345 EAST 81 STREET,MANHATTAN,NY"
1485,"345 EAST 81 STREET,MANHATTAN,NY"
1486,"300 EAST 85 STREET,MANHATTAN,NY"
1487,"301 EAST 87 STREET,MANHATTAN,NY"
1488,"333 EAST 91 STREET,MANHATTAN,NY"
1489,"340 EAST 93 STREET,MANHATTAN,NY"
1490,"345 EAST 93 STREET,MANHATTAN,NY"
1491,"345 EAST 93 STREET,MANHATTAN,NY"
1492,"425 EAST 79 STREET,MANHATTAN,NY"
1493,"444 EAST 84 STREET,MANHATTAN,NY"
1494,"415 EAST 85,MANHATTAN,NY"
1495,"425 EAST 86 STREET,MANHATTAN,NY"
1496,"435 EAST 86 STREET,MANHATTAN,NY"
1497,"510 EAST 84 STREET,MANHATTAN,NY"
1498,"1049 FIFTH AVENUE,MANHATTAN,NY"
1499,"127 EAST 79TH   STREET,MANHATTAN,NY"
1500,"1438 3 AVENUE,MANHATTAN,NY"
1501,"1438 3 AVENUE,MANHATTAN,NY"
1502,"1438 THIRD AVE,MANHATTAN,NY"
1503,"1438 3 AVENUE,MANHATTAN,NY"
1504,"1438 THIRD AVENUE,MANHATTAN,NY"
1505,"1438 THIRD AVENUE,MANHATTAN,NY"
1506,"1438 THIRD AVENUE,MANHATTAN,NY"
1507,"1438 3RD AVENUE,MANHATTAN,NY"
1508,"1438 THIRD AVENUE,MANHATTAN,NY"
1509,"167 EAST 82ND   STREET,MANHATTAN,NY"
1510,"1474 THIRD AVENUE,MANHATTAN,NY"
1511,"1474 THIRD AVENUE,MANHATTAN,NY"
1512,"171 EAST 84TH   STREET,MANHATTAN,NY"
1513,"171 EAST 84TH STREET,MANHATTAN,NY"
1514,"171 EAST 84TH   STREET,MANHATTAN,NY"
1515,"171 EAST 84TH   STREET,MANHATTAN,NY"
1516,"171 EAST 84TH   STREET,MANHATTAN,NY"
1517,"171 EAST 84TH   STREET,MANHATTAN,NY"
1518,"171 EAST 84TH   STREET,MANHATTAN,NY"
1519,"150 EAST 85TH STREET,MANHATTAN,NY"
1520,"150 EAST 85TH STREET,MANHATTAN,NY"
1521,"150 EAST 85TH STREET,MANHATTAN,NY"
1522,"150 EAST 85TH ST,MANHATTAN,NY"
1523,"150 EAST 85TH STREET,MANHATTAN,NY"
1524,"150 EAST 85TH STREET,MANHATTAN,NY"
1525,"151 EAST 85 STREET,MANHATTAN,NY"
1526,"150 EAST 86TH   STREET,MANHATTAN,NY"
1527,"110 EAST 87TH   STREET,MANHATTAN,NY"
1528,"110 EAST 87TH STREET,MANHATTAN,NY"
1529,"110 EAST 87TH STREET,MANHATTAN,NY"
1530,"110 E 87TH STREET,MANHATTAN,NY"
1531,"110 EAST 87,MANHATTAN,NY"
1532,"120 EAST 87TH   STREET,MANHATTAN,NY"
1533,"120 EAST 87 STREET,MANHATTAN,NY"
1534,"120 EAST 87TH STREET,MANHATTAN,NY"
1535,"120 EAST 87TH STREET,MANHATTAN,NY"
1536,"120 EAST 87TH   STREET,MANHATTAN,NY"
1537,"120 EAST 87TH   STREET,MANHATTAN,NY"
1538,"170 EAST 87TH   STREET,MANHATTAN,NY"
1539,"170 EAST 87TH   STREET,MANHATTAN,NY"
1540,"170 EAST 87TH   STREET,MANHATTAN,NY"
1541,"170 EAST 87TH STREET,MANHATTAN,NY"
1542,"170 EAST 87TH   STREET,MANHATTAN,NY"
1543,"170 EAST 87TH STREET,MANHATTAN,NY"
1544,"170 EAST 87TH STREET,MANHATTAN,NY"
1545,"170 EAST 87TH   STREET,MANHATTAN,NY"
1546,"141 EAST 88TH   STREET,MANHATTAN,NY"
1547,"141 EAST 88TH   STREET,MANHATTAN,NY"
1548,"141 EAST 88TH   STREET,MANHATTAN,NY"
1549,"120 EAST 90TH   STREET,MANHATTAN,NY"
1550,"120 EAST 90TH STREET,MANHATTAN,NY"
1551,"120 EAST 90TH   STREET,MANHATTAN,NY"
1552,"181 EAST 90TH STREET,MANHATTAN,NY"
1553,"181 EAST 90TH   STREET,MANHATTAN,NY"
1554,"181 EAST 90TH   STREET,MANHATTAN,NY"
1555,"134 EAST 93RD   STREET,MANHATTAN,NY"
1556,"134 EAST 93RD STREET,MANHATTAN,NY"
1557,"134 EAST 93RD   STREET,MANHATTAN,NY"
1558,"134 EAST 93RD STREET,MANHATTAN,NY"
1559,"134 EAST 93RD STREET,MANHATTAN,NY"
1560,"1235 PARK AVENUE,MANHATTAN,NY"
1561,"1235 PARK AVENUE,MANHATTAN,NY"
1562,"1235 PARK AVENUE,MANHATTAN,NY"
1563,"1235 PARK AVENUE,MANHATTAN,NY"
1564,"1235 PARK AVENUE,MANHATTAN,NY"
1565,"1235 PARK AVENUE,MANHATTAN,NY"
1566,"201 EAST 80TH   STREET,MANHATTAN,NY"
1567,"201 EAST 80TH STREET,MANHATTAN,NY"
1568,"201 EAST 80TH STREET,MANHATTAN,NY"
1569,"201 EAST 80TH   STREET,MANHATTAN,NY"
1570,"215 EAST 80TH STREET,MANHATTAN,NY"
1571,"215 EAST 80TH STREET,MANHATTAN,NY"
1572,"215 EAST 80TH STREET,MANHATTAN,NY"
1573,"1441 3 AVENUE,MANHATTAN,NY"
1574,"215 EAST 81ST   STREET,MANHATTAN,NY"
1575,"215 EAST 81ST   STREET,MANHATTAN,NY"
1576,"215 EAST 81ST   STREET,MANHATTAN,NY"
1577,"215 EAST 81ST   STREET,MANHATTAN,NY"
1578,"1601 3 AVENUE,MANHATTAN,NY"
1579,"1601 3 AVENUE,MANHATTAN,NY"
1580,"1601 THIRD AVENUE,MANHATTAN,NY"
1581,"1601 THIRD AVENUE,MANHATTAN,NY"
1582,"1619 THIRD AVENUE,MANHATTAN,NY"
1583,"1619 3 AVENUE,MANHATTAN,NY"
1584,"1619 THIRD AVENUE,MANHATTAN,NY"
1585,"1623 3 AVENUE,MANHATTAN,NY"
1586,"1623 3 AVENUE,MANHATTAN,NY"
1587,"1623 3 AVENUE,MANHATTAN,NY"
1588,"1623 3 AVENUE,MANHATTAN,NY"
1589,"1623 3 AVENUE,MANHATTAN,NY"
1590,"1623 3 AVENUE,MANHATTAN,NY"
1591,"1623 THIRD AVENUE,MANHATTAN,NY"
1592,"1641 THIRD AVE,MANHATTAN,NY"
1593,"1641 THIRD AVENUE,MANHATTAN,NY"
1594,"1628 SECOND AVENUE,MANHATTAN,NY"
1595,"1628 SECOND AVENUE,MANHATTAN,NY"
1596,"1760 SECOND AVENUE,MANHATTAN,NY"
1597,"1760 2 AVENUE,MANHATTAN,NY"
1598,"1760 2 AVENUE,MANHATTAN,NY"
1599,"1760 2 AVENUE,MANHATTAN,NY"
1600,"1760 SECOND AVENUE,MANHATTAN,NY"
1601,"1495 3 AVENUE,MANHATTAN,NY"
1602,"120 EAST 87TH   STREET,MANHATTAN,NY"
1603,"170 EAST 87TH   STREET,MANHATTAN,NY"
1604,"21-23 EAST 104 STREET,MANHATTAN,NY"
1605,"16 EAST 109 STREET,MANHATTAN,NY"
1606,"11-13 EAST 109 STREET,MANHATTAN,NY"
1607,"8-18 EAST 110 STREET,MANHATTAN,NY"
1608,"1150 5 AVENUE,MANHATTAN,NY"
1609,"1158 FIFTH AVENUE,MANHATTAN,NY"
1610,"1158 FIFTH AVENUE,MANHATTAN,NY"
1611,"16 EAST 98 STREET,MANHATTAN,NY"
1612,"1165 FIFTH AVENUE,MANHATTAN,NY"
1613,"1170 FIFTH AVENUE,MANHATTAN,NY"
1614,"1270 FIFTH AVENUE,MANHATTAN,NY"
1615,"1270 FIFTH AVENUE,MANHATTAN,NY"
1616,"1270 FIFTH AVENUE,MANHATTAN,NY"
1617,"1270 FIFTH AVE,MANHATTAN,NY"
1618,"1200 5 AVENUE,MANHATTAN,NY"
1619,"1212 5 AVENUE,MANHATTAN,NY"
1620,"1255 5 AVENUE,MANHATTAN,NY"
1621,"1255 5 AVENUE,MANHATTAN,NY"
1622,"1280 FIFTH AVENUE,MANHATTAN,NY"
1623,"1280 FIFTH AVENUE,MANHATTAN,NY"
1624,"1280 5 AVENUE,MANHATTAN,NY"
1625,"1280 5 AVENUE,MANHATTAN,NY"
1626,"1280 FIFTH AVENUE,MANHATTAN,NY"
1627,"1280 FIFTH AVENUE,MANHATTAN,NY"
1628,"48 WEST 70 STREET,MANHATTAN,NY"
1629,"145 WEST 74 STREET,MANHATTAN,NY"
1630,"143 WEST 74 STREET,MANHATTAN,NY"
1631,"61 WEST 68 STREET,MANHATTAN,NY"
1632,"46 WEST 71 STREET,MANHATTAN,NY"
1633,"46 WEST 71 STREET,MANHATTAN,NY"
1634,"154 WEST 77 ST,MANHATTAN,NY"
1635,"44 WEST 62 ST,MANHATTAN,NY"
1636,"25 WEST 64 STREET,MANHATTAN,NY"
1637,"10 W. 66 STREET,MANHATTAN,NY"
1638,"27 WEST 67 STREET,MANHATTAN,NY"
1639,"49 WEST 72 STREET,MANHATTAN,NY"
1640,"165 WEST 66 STREET,MANHATTAN,NY"
1641,"165 WEST 66 STREET,MANHATTAN,NY"
1642,"164 WEST 79 STREET,MANHATTAN,NY"
1643,"303 WEST 66 STREET,MANHATTAN,NY"
1644,"303 WEST 66 STREET,MANHATTAN,NY"
1645,"303 WEST 66 STREET,MANHATTAN,NY"
1646,"303 WEST 66TH STRET,MANHATTAN,NY"
1647,"315 WEST 70 STREET,MANHATTAN,NY"
1648,"300 WEST 72 STREET,MANHATTAN,NY"
1649,"304 WEST 75 STREET,MANHATTAN,NY"
1650,"304 WEST 75 STREET,MANHATTAN,NY"
1651,"43 W 61 STREET,MANHATTAN,NY"
1652,"30 WEST 63 STREET,MANHATTAN,NY"
1653,"160 WEST 66 STREET,MANHATTAN,NY"
1654,"201 WEST 72 STREET,MANHATTAN,NY"
1655,"201 WEST 74 STREET,MANHATTAN,NY"
1656,"61 WEST 62 STREET,MANHATTAN,NY"
1657,"104 WEST 87 ST,MANHATTAN,NY"
1658,"135 WEST 89 STREET,MANHATTAN,NY"
1659,"202 WEST 92ND,MANHATTAN,NY"
1660,"35 WEST 90 STREET,MANHATTAN,NY"
1661,"65 WEST 95 STREET,MANHATTAN,NY"
1662,"12 WEST 96 STREET,MANHATTAN,NY"
1663,"130 WEST 86 STREET,MANHATTAN,NY"
1664,"267 W 89TH,MANHATTAN,NY"
1665,"201 WEST 89 ST,MANHATTAN,NY"
1666,"215 W 92 ST,MANHATTAN,NY"
1667,"250 WEST 94 STREET,MANHATTAN,NY"
1668,"328 WEST 86 STREET,MANHATTAN,NY"
1669,"325 WEST 86,MANHATTAN,NY"
1670,"309 WEST 86TH,MANHATTAN,NY"
1671,"317 WEST 93 STREET,MANHATTAN,NY"
1672,"211 WEST 88 STREET,MANHATTAN,NY"
1673,"30 WEST 90 STREET,MANHATTAN,NY"
1674,"127 WEST 82 STREET,MANHATTAN,NY"
1675,"124 WEST 93 STREET,MANHATTAN,NY"
1676,"225 WEST 83 STREET,MANHATTAN,NY"
1677,"255 WEST 85 STREET,MANHATTAN,NY"
1678,"215 WEST 88 STREET,MANHATTAN,NY"
1679,"203 WEST 90 STREET,MANHATTAN,NY"
1680,"215 WEST 95,MANHATTAN,NY"
1681,"101 WEST 81ST,MANHATTAN,NY"
1682,"109 WEST 105 STREET,MANHATTAN,NY"
1683,"216 WEST 108 STREET,MANHATTAN,NY"
1684,"325 WEST 100 STREET,MANHATTAN,NY"
1685,"304 WEST 106 STREET,MANHATTAN,NY"
1686,"315 WEST 102ND,MANHATTAN,NY"
1687,"125 WEST 96 STREET,MANHATTAN,NY"
1688,"245 WEST 104TH,MANHATTAN,NY"
1689,"238 WEST 106 STREET,MANHATTAN,NY"
1690,"200 WEST 108 STREET,MANHATTAN,NY"
1691,"200 WEST 108 STREET,MANHATTAN,NY"
1692,"241 WEST 108 STREET,MANHATTAN,NY"
1693,"241 WEST 108 STREET,MANHATTAN,NY"
1694,"235 WEST 108 STREET,MANHATTAN,NY"
1695,"532 WEST 111 STREET,MANHATTAN,NY"
1696,"507 WEST 111 STREET,MANHATTAN,NY"
1697,"310 WEST 99 STREET,MANHATTAN,NY"
1698,"308 WEST 103 STREET,MANHATTAN,NY"
1699,"308 WEST 103 STREET,MANHATTAN,NY"
1700,"310 WEST 106 STREET,MANHATTAN,NY"
1701,"329 WEST 108 STREET,MANHATTAN,NY"
1702,"329 WEST 108 STREET,MANHATTAN,NY"
1703,"611 WEST 111TH,MANHATTAN,NY"
1704,"622 WEST 114 STREET,MANHATTAN,NY"
1705,"622 WEST 114 STREET,MANHATTAN,NY"
1706,"622 WEST 114 STREET,MANHATTAN,NY"
1707,"275 WEST 96 ST,MANHATTAN,NY"
1708,"504 WEST 110 STREET,MANHATTAN,NY"
1709,"520 WEST 110 STREET,MANHATTAN,NY"
1710,"318 WEST 100 STREET,MANHATTAN,NY"
1711,"235 WEST 102ND,MANHATTAN,NY"
1712,"235 WEST 102 STREET,MANHATTAN,NY"
1713,"235 WEST 102ND,MANHATTAN,NY"
1714,"545 WEST 111 STREET,MANHATTAN,NY"
1715,"545 WEST 111 STREET,MANHATTAN,NY"
1716,"545 WEST 111 STREET,MANHATTAN,NY"
1717,"545 WEST 111 STREET,MANHATTAN,NY"
1718,"552 WEST 161 STREET,MANHATTAN,NY"
1719,"524 WEST 175 STREET,MANHATTAN,NY"
1720,"521 WEST 156 STREET,MANHATTAN,NY"
1721,"538 WEST 159 STREET,MANHATTAN,NY"
1722,"534 WEST 159 STREET,MANHATTAN,NY"
1723,"532 WEST 159 STREET,MANHATTAN,NY"
1724,"530 WEST 159 STREET,MANHATTAN,NY"
1725,"528 WEST 159 STREET,MANHATTAN,NY"
1726,"515 WEST 169 STREET,MANHATTAN,NY"
1727,"643 WEST 171 STREET,MANHATTAN,NY"
1728,"1090 SAINT NICHOLAS AVENU,MANHATTAN,NY"
1729,"543 WEST 162 STREET,MANHATTAN,NY"
1730,"80 FORT WASHINGTON AVEN,MANHATTAN,NY"
1731,"66-72 FORT WASHINGTON AVEN,MANHATTAN,NY"
1732,"86 FORT WASHINGTON AVEN,MANHATTAN,NY"
1733,"474 WEST 158 STREET,MANHATTAN,NY"
1734,"512 WEST 156 STREET,MANHATTAN,NY"
1735,"512 WEST 156 ST,MANHATTAN,NY"
1736,"512 WEST 156 STREET,MANHATTAN,NY"
1737,"512 WEST 156 STREET,MANHATTAN,NY"
1738,"512 WEST 156 ST,MANHATTAN,NY"
1739,"501 WEST 156 STREET,MANHATTAN,NY"
1740,"513 WEST 157TH STRET,MANHATTAN,NY"
1741,"930 SAINT NICHOLAS AVENU,MANHATTAN,NY"
1742,"544 WEST 157 STREET,MANHATTAN,NY"
1743,"15 FORT WASHINGTON AVEN,MANHATTAN,NY"
1744,"47 FORT WASHINGTON AVEN,MANHATTAN,NY"
1745,"47 FORT WASHINGTON AVEN,MANHATTAN,NY"
1746,"371 FORT WASHINGTON AVEN,MANHATTAN,NY"
1747,"359 FORT WASHINGTON AVEN,MANHATTAN,NY"
1748,"359 FORT WASHINGTON AVEN,MANHATTAN,NY"
1749,"456 WEST 167 STREET,MANHATTAN,NY"
1750,"515 WEST 179 STREET,MANHATTAN,NY"
1751,"517 WEST 180 STREET,MANHATTAN,NY"
1752,"570 WEST 182 STREET,MANHATTAN,NY"
1753,"558 WEST 184 STREET,MANHATTAN,NY"
1754,"555 WEST 183 STREET,MANHATTAN,NY"
1755,"569 WEST 192 STREET,MANHATTAN,NY"
1756,"568 WEST 192 STREET,MANHATTAN,NY"
1757,"558 WEST 193 STREET,MANHATTAN,NY"
1758,"550 FORT WASHINGTON AVEN,MANHATTAN,NY"
1759,"550 FORT WASHINGTON AVEN,MANHATTAN,NY"
1760,"16 MAGAW PLACE,MANHATTAN,NY"
1761,"447 FORT WASHINGTON AVEN,MANHATTAN,NY"
1762,"825 WEST 179 STREET,MANHATTAN,NY"
1763,"875 WEST 181 STREET,MANHATTAN,NY"
1764,"875 WEST 181 STREET,MANHATTAN,NY"
1765,"875 WEST 181 STREET,MANHATTAN,NY"
1766,"689 FORT WASHINGTON AVEN,MANHATTAN,NY"
1767,"689 FORT WASHINGTON AVEN,MANHATTAN,NY"
1768,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1769,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1770,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1771,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1772,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1773,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1774,"720 FORT WASHINGTON AVEN,MANHATTAN,NY"
1775,"730 FORT WASHINGTON AVEN,MANHATTAN,NY"
1776,"730 FORT WASHINGTON AVEN,MANHATTAN,NY"
