SALE PRICE,address,latitude,longitude,neighborhood,burough,zip code,GROSS SQUARE FEET,land sq feet
445000,"5151 POST ROAD,BRONX,NY",40.896916299999994,-73.8987733,FIELDSTON,BRONX,10471,1480,2000
540000,"245 EAST 234TH STREET,BRONX,NY",40.89689965,-73.86876099999999,WOODLAWN,BRONX,10470,1786,2500
469000,"4233 MONTICELLO AVENUE,BRONX,NY",40.89673605,-73.84060744,WAKEFIELD,BRONX,10466,1260,2082
1450000,"5011 WALDO,BRONX,NY",40.8965951,-73.9013505,FIELDSTON,BRONX,10471,3241,14098
359970,"4304 GRACE AVENUE,BRONX,NY",40.89657775,-73.84672411,WAKEFIELD,BRONX,10466,1152,1754
455000,"4218 HERKIMER PLACE,BRONX,NY",40.896182399999994,-73.87550414,WOODLAWN,BRONX,10470,1397,2500
1414750,"69 EAST 233RD STREET,BRONX,NY",40.89602854,-73.87379773,WOODLAWN,BRONX,10470,3825,15352
400000,"4327 BYRON,BRONX,NY",40.8959518,-73.8541748,WAKEFIELD,BRONX,10466,1312,2375
1950000,"4667 DELAFIELD AVENUE,BRONX,NY",40.8956435,-73.90740914,FIELDSTON,BRONX,10471,3478,17337
380000,"1808 PITMAN AVENUE,BRONX,NY",40.89562065,-73.84895394,WAKEFIELD,BRONX,10466,1186,2338
450000,"4162 HILL AVENUE,BRONX,NY",40.895554100000005,-73.84058184,WAKEFIELD,BRONX,10466,1363,4750
375000,"4302 BOYD AVENUE,BRONX,NY",40.8954798,-73.85117690000001,WAKEFIELD,BRONX,10466,1146,2000
3100000,"6161 BROADWAY,BRONX,NY",40.8953664,-73.89697559999999,FIELDSTON,BRONX,10471,1232,13975
390000,"4219 BRUNER,BRONX,NY",40.89502195,-73.84852459999999,WAKEFIELD,BRONX,10466,1186,2379
325000,"4152 MURDOCK AVENUE,BRONX,NY",40.89487355,-73.8413324,WAKEFIELD,BRONX,10466,690,1958
446000,"1845 BUSSING AVENUE,BRONX,NY",40.8948081,-73.8473919,WAKEFIELD,BRONX,10466,1064,3327
1100000,"343 COLLEGE ROAD,BRONX,NY",40.8945709,-73.90026308,FIELDSTON,BRONX,10471,1661,7426
665000,"4147 WILDER AVE,BRONX,NY",40.894548799999995,-73.84267774,WAKEFIELD,BRONX,10466,2118,2605
392000,"4217 GUNTHER AVENUE,BRONX,NY",40.89443920000001,-73.85023809,WAKEFIELD,BRONX,10466,1286,2198
520000,"4235 DIGNEY AVENUE,BRONX,NY",40.8942883,-73.85205872,WAKEFIELD,BRONX,10466,1674,2356
449000,"4145 BAYCHESTER AVENUE,BRONX,NY",40.8941006,-73.844432,WAKEFIELD,BRONX,10466,1224,1350
2300000,"305 WEST 246TH STREET,BRONX,NY",40.8939003,-73.90134379999999,FIELDSTON,BRONX,10471,3769,10153
440000,"4162 WICKHAM AVENUE,BRONX,NY",40.8937491,-73.84855621,WAKEFIELD,BRONX,10466,1044,2375
640000,"4152 WICKHAM AVENUE,BRONX,NY",40.89356805,-73.84840515,WAKEFIELD,BRONX,10466,1890,2090
425000,"4153 GUNTHER AVENUE,BRONX,NY",40.89320515,-73.84975895,WAKEFIELD,BRONX,10466,1216,2500
3075000,"4595 FIELDSTON ROAD,BRONX,NY",40.89305845,-73.90594541,FIELDSTON,BRONX,10471,3594,13170
445000,"4098 DE REIMER AVENUE,BRONX,NY",40.89301275,-73.84253996,BAYCHESTER,BRONX,10466,1260,1980
1850000,"290 WEST 246TH STREET,BRONX,NY",40.892933299999996,-73.9008661,FIELDSTON,BRONX,10471,4919,14149
1370000,"4545 DELAFIELD AVENUE,BRONX,NY",40.8927779,-73.90723199,FIELDSTON,BRONX,10471,2307,7082
421000,"4133 GUNTHER AVENUE,BRONX,NY",40.8926826,-73.8495428,WAKEFIELD,BRONX,10466,1266,2500
1386800,"4520 WALDO AVENUE,BRONX,NY",40.8926712,-73.90102716,FIELDSTON,BRONX,10471,2113,7000
3900000,"4547 LIVINGSTON AVENUE,BRONX,NY",40.8926347,-73.90443418,FIELDSTON,BRONX,10471,6378,18375
505000,"1813 EDENWALD,BRONX,NY",40.89228385,-73.84749156,WAKEFIELD,BRONX,10466,1501,2500
395200,"4033 HILL AVE,BRONX,NY",40.89184335,-73.83970025,BAYCHESTER,BRONX,10466,1088,1718
420000,"4030 HARPER AVENUE,BRONX,NY",40.89159975,-73.83264890000001,BAYCHESTER,BRONX,10466,1170,8873
410000,"839 EAST 232ND STREET,BRONX,NY",40.89151595,-73.85337391,WILLIAMSBRIDGE,BRONX,10466,1020,1584
1877000,"4501 DELAFIELD AVENUE,BRONX,NY",40.89136345,-73.90706846,FIELDSTON,BRONX,10471,2788,9400
630000,"4026 DE REIMER AVENUE,BRONX,NY",40.891147499999995,-73.84176295,BAYCHESTER,BRONX,10466,1900,1868
390000,"3962 AMUNDSON AVENUE,BRONX,NY",40.89099685,-73.83602644,BAYCHESTER,BRONX,10466,1240,2500
3275000,"4114 WHITE PLAINS ROAD,BRONX,NY",40.890983899999995,-73.858501,WILLIAMSBRIDGE,BRONX,10466,7000,8075
635000,"4036 EDSON AVENUE,BRONX,NY",40.89073735,-73.84351145,BAYCHESTER,BRONX,10466,2112,2500
346500,"962 EAST 233RD STREET,BRONX,NY",40.89066275,-73.84949959999999,WILLIAMSBRIDGE,BRONX,10466,1050,1692
449000,"4034 ELY AVE,BRONX,NY",40.8905459,-73.84535531,BAYCHESTER,BRONX,10466,1152,1710
485000,"3952 HILL AVENUE,BRONX,NY",40.89034595,-73.83865334,BAYCHESTER,BRONX,10466,1479,2375
640000,"4129 BRONXWOOD AVENUE,BRONX,NY",40.88984075,-73.85293094,WILLIAMSBRIDGE,BRONX,10466,1710,1900
598500,"4005 LOWERRE,BRONX,NY",40.8891361,-73.86118333,WILLIAMSBRIDGE,BRONX,10466,1980,2500
644661,"4146 PAULDING AVENUE,BRONX,NY",40.8891287,-73.8493395,WILLIAMSBRIDGE,BRONX,10466,2143,1700
530000,"1031 EAST 231ST STREET,BRONX,NY",40.88912605,-73.84830805,WILLIAMSBRIDGE,BRONX,10466,1692,2517
640000,"3516 ROPES AVENUE,BRONX,NY",40.88859845,-73.81801123,BAYCHESTER,BRONX,10475,1950,3250
390000,"3811 MERRITT AVENUE,BRONX,NY",40.888271,-73.8295902,BAYCHESTER,BRONX,10466,896,2500
