,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
619,1600000,"20 PINE STREET, FINANCIAL, MANHATTAN, NEW YORK, NY, 10005",40.70773085,-74.0097165272374,FINANCIAL,MANHATTAN,10005, -  , -  
626,1027467,"700 PACIFIC STREET, PROSPECT HEIGHTS, BROOKLYN, NEW YORK, NY, 11217",40.6817512,-73.9721462,PROSPECT HEIGHTS,BROOKLYN,11217,0,0
628,379000,"395 FAIRBANKS AVENUE, OAKWOOD-BEACH, STATEN ISLAND, NEW YORK, NY, 10306",40.5560514,-74.1219832656983,OAKWOOD-BEACH,STATEN ISLAND,10306,1000,2040
630,680000,"88 GREENWICH STREET, FINANCIAL, MANHATTAN, NEW YORK, NY, 10006",40.70791245,-74.014073364447,FINANCIAL,MANHATTAN,10006, -  , -  
632,800000,"1911 CROTONA AVENUE, EAST TREMONT, BRONX, NEW YORK, NY, 10457",40.8447592,-73.8921389691375,EAST TREMONT,BRONX,10457,2331,5300
633,1633333,"640 BALTIC STREET, PARK SLOPE, BROOKLYN, NEW YORK, NY, 11217",40.6799771,-73.97992785,PARK SLOPE,BROOKLYN,11217,3256,2200
637,4916056,"252 EAST 57TH   STREET, MIDTOWN EAST, MANHATTAN, NEW YORK, NY, 10022",40.7590843,-73.9658854984473,MIDTOWN EAST,MANHATTAN,10022, -  , -  
640,125000,"544 WARWICK STREET, EAST NEW YORK, BROOKLYN, NEW YORK, NY, 11207",40.6641165,-73.8829056,EAST NEW YORK,BROOKLYN,11207,0,2500
641,745000,"27-28 THOMSON AVENUE, LONG ISLAND CITY, QUEENS, NEW YORK, NY, 11101",40.7457235,-73.9416170427685,LONG ISLAND CITY,QUEENS,11101, -  , -  
642,915406,"1149 BEDFORD AVENUE, BEDFORD STUYVESANT, BROOKLYN, NEW YORK, NY, 11216",40.6841683,-73.9539044,BEDFORD STUYVESANT,BROOKLYN,11216,0,0
644,1750000,"2361 HOFFMAN STREET, BELMONT, BRONX, NEW YORK, NY, 10458",40.8553473673469,-73.8891722448979,BELMONT,BRONX,10458,2850,4738
645,856081,"131-03 40TH   ROAD, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11354",40.7560827,-73.8357912,FLUSHING-NORTH,QUEENS,11354, -  , -  
646,780000,"8-29 EMPIRE AVENUE, FAR ROCKAWAY, QUEENS, NEW YORK, NY, 11691",40.605625,-73.744682,FAR ROCKAWAY,QUEENS,11691,1932,3725
654,357869,"194-09 112TH   ROAD, ST. ALBANS, QUEENS, NEW YORK, NY, 11412",40.700797,-73.7610488037325,ST. ALBANS,QUEENS,11412,1532,2942
658,780000,"1072 72ND STREET, DYKER HEIGHTS, BROOKLYN, NEW YORK, NY, 11228",40.6248202,-74.0105759830368,DYKER HEIGHTS,BROOKLYN,11228,1156,1717
661,2060000,"1485 EAST 21ST   STREET, MIDWOOD, BROOKLYN, NEW YORK, NY, 11210",40.61700335,-73.9534180210964,MIDWOOD,BROOKLYN,11210,1916,7000
665,525000,"45-02 DITMARS BLVD, ASTORIA, QUEENS, NEW YORK, NY, 11105",40.7824664,-73.9196722,ASTORIA,QUEENS,11105, -  , -  
669,1202000,"34-21 32ND   STREET, ASTORIA, QUEENS, NEW YORK, NY, 11106",40.75864165,-73.9266497089474,ASTORIA,QUEENS,11106,3139,2100
670,400000,"848 CRESCENT STREET, EAST NEW YORK, BROOKLYN, NEW YORK, NY, 11208",40.66664385,-73.86809125,EAST NEW YORK,BROOKLYN,11208,2000,2983
